Grid Position,Driver,Chassis,Engine,Time
1,L.NORRIS,McLaren,Mercedes,1'17.207
2,C.LECLERC,Ferrari,Ferrari,1'17.445
3,O.PIASTRI,McLaren,Mercedes,1'17.684
4,M.VERSTAPPEN,Red Bull,Red Bull Ford,1'17.725
5,L.HAMILTON,Ferrari,Ferrari,1'17.219
6,G.RUSSELL,Mercedes,Mercedes,1'17.760
7,K.ANTONELLI,Mercedes,Mercedes,1'17.479
8,I.HADJAR,Red Bull,Red Bull Ford,1'17.856
9,A.LINDBLAD,Racing Bulls,Red Bull Ford,1'18.281
10,N.HULKENBERG,Audi,Audi,1'18.686
11,L.LAWSON,Racing Bulls,Red Bull Ford,1'18.765
12,P.GASLY,Alpine,Mercedes,1'18.844
13,F.COLAPINTO,Alpine,Mercedes,1'19.027
14,G.BORTOLETO,Audi,Audi,1'19.105
15,E.OCON,Haas,Ferrari,1'19.734
16,F.ALONSO,Aston Martin,Honda,1'19.808
17,O.BEARMAN,Haas,Ferrari,1'20.233
18,C.SAINZ,Williams,Mercedes,1'20.621
19,A.ALBON,Williams,Mercedes,1'20.658
20,L.STROLL,Aston Martin,Honda,1'20.659
21,V.BOTTAS,Cadillac,Ferrari,1'20.886
22,S.PEREZ,Cadillac,Ferrari,1'21.322
